conda list --name vmamba_dino
# packages in environment at /home/xiaoya/anaconda3/envs/vmamba_dino:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
addict                    2.4.0                    pypi_0    pypi
aiohttp                   3.9.1                    pypi_0    pypi
aiosignal                 1.3.1                    pypi_0    pypi
alembic                   1.13.0                   pypi_0    pypi
alsa-lib                  1.2.14               hb9d3cd8_0    conda-forge
annotated-types           0.7.0                    pypi_0    pypi
aom                       3.9.1                hac33072_0    conda-forge
async-timeout             4.0.3                    pypi_0    pypi
attr                      2.5.2                h39aace5_0    conda-forge
attrs                     23.1.0                   pypi_0    pypi
blinker                   1.7.0                    pypi_0    pypi
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.8.3             hbd8a1cb_0    conda-forge
cairo                     1.18.4               h3394656_0    conda-forge
certifi                   2023.11.17               pypi_0    pypi
charset-normalizer        3.3.2                    pypi_0    pypi
click                     8.1.7                    pypi_0    pypi
cloudpickle               3.0.0                    pypi_0    pypi
contourpy                 1.2.0                    pypi_0    pypi
cycler                    0.12.1                   pypi_0    pypi
databricks-cli            0.18.0                   pypi_0    pypi
datasets                  2.15.0                   pypi_0    pypi
dav1d                     1.2.1                hd590300_0    conda-forge
dbus                      1.16.2               h3c4dab8_0    conda-forge
dill                      0.3.7                    pypi_0    pypi
docker                    6.1.3                    pypi_0    pypi
docker-pycreds            0.4.0                    pypi_0    pypi
einops                    0.7.0                    pypi_0    pypi
entrypoints               0.4                      pypi_0    pypi
ffmpeg                    8.0.0           gpl_ha0aeed6_903    conda-forge
filelock                  3.13.1                   pypi_0    pypi
flask                     3.0.0                    pypi_0    pypi
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.15.0               h7e30c49_1    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.46.0                   pypi_0    pypi
freeglut                  3.2.2                ha6d2627_3    conda-forge
freetype                  2.13.3               ha770c72_1    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
frozenlist                1.4.0                    pypi_0    pypi
fsspec                    2023.10.0                pypi_0    pypi
gdk-pixbuf                2.42.12              h2b0a6b4_3    conda-forge
gettext                   0.25.1               h3f43e3d_1    conda-forge
gettext-tools             0.25.1               h3f43e3d_1    conda-forge
gitdb                     4.0.11                   pypi_0    pypi
gitpython                 3.1.40                   pypi_0    pypi
glslang                   15.4.0               h7d2aa7d_0    conda-forge
gmp                       6.3.0                hac33072_2    conda-forge
graphite2                 1.3.14               hecca717_2    conda-forge
greenlet                  3.0.2                    pypi_0    pypi
gunicorn                  21.2.0                   pypi_0    pypi
harfbuzz                  11.4.5               h15599e2_0    conda-forge
hdf5                      1.14.6          nompi_h2d575fe_101    conda-forge
huggingface-hub           0.19.4                   pypi_0    pypi
icu                       75.1                 he02047a_0    conda-forge
idna                      3.6                      pypi_0    pypi
imageio                   2.37.0             pyhfb79c49_0    conda-forge
imath                     3.2.1                hde8ca8f_0    conda-forge
importlib-metadata        7.0.0                    pypi_0    pypi
itsdangerous              2.1.2                    pypi_0    pypi
jasper                    4.2.8                he3c4edf_0    conda-forge
jinja2                    3.1.2                    pypi_0    pypi
joblib                    1.3.2                    pypi_0    pypi
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
kiwisolver                1.4.5                    pypi_0    pypi
krb5                      1.21.3               h659f571_0    conda-forge
lame                      3.100             h166bdaf_1003    conda-forge
lazy-loader               0.4                pyhd8ed1ab_2    conda-forge
lcms2                     2.17                 h717163a_0    conda-forge
ld_impl_linux-64          2.43                 h712a8e2_4    conda-forge
lerc                      4.0.0                h0aef613_1    conda-forge
level-zero                1.24.2               hb700be7_0    conda-forge
libabseil                 20250512.1      cxx17_hba17884_0    conda-forge
libaec                    1.1.4                h3f801dc_0    conda-forge
libasprintf               0.25.1               h3f43e3d_1    conda-forge
libasprintf-devel         0.25.1               h3f43e3d_1    conda-forge
libass                    0.17.4               h96ad9f0_0    conda-forge
libavif16                 1.3.0                h6395336_2    conda-forge
libblas                   3.9.0           31_h59b9bed_openblas    conda-forge
libbrotlicommon           1.1.0                hb03c661_4    conda-forge
libbrotlidec              1.1.0                hb03c661_4    conda-forge
libbrotlienc              1.1.0                hb03c661_4    conda-forge
libcap                    2.75                 h39aace5_0    conda-forge
libcblas                  3.9.0           31_he106b2a_openblas    conda-forge
libcurl                   8.14.1               h332b0f4_0    conda-forge
libdeflate                1.24                 h86f0d12_0    conda-forge
libdrm                    2.4.125              hb9d3cd8_0    conda-forge
